km,price
54.0000,86.0000
54.5000,86.5000
55.0000,87.0000
55.5000,87.5000
56.0000,88.0000
56.5000,88.5000
57.0000,89.0000
57.5000,89.5000
58.0000,90.0000
58.5000,90.5000
59.0000,91.0000
59.5000,91.5000
60.0000,92.0000
60.5000,92.5000
61.0000,93.0000
61.5000,93.5000
62.0000,94.0000
62.5000,94.5000
63.0000,95.0000
63.5000,95.5000
64.0000,96.0000
64.5000,96.5000
65.0000,97.0000
65.5000,97.5000
66.0000,98.0000
66.5000,98.5000
67.0000,99.0000
67.5000,99.5000
68.0000,100.0000
68.5000,100.5000
69.0000,101.0000
69.5000,101.5000
70.0000,102.0000
70.5000,102.5000
71.0000,103.0000
71.5000,103.5000
72.0000,104.0000
72.5000,104.5000
73.0000,105.0000
73.5000,105.5000
74.0000,106.0000
74.5000,106.5000
75.0000,107.0000
75.5000,107.5000
76.0000,108.0000
76.5000,108.5000
77.0000,109.0000
77.5000,109.5000
78.0000,110.0000
78.5000,110.5000
