km,price
74.0000,98.0000
72.0000,92.0000
70.0000,86.0000
68.0000,92.0000
66.0000,98.0000
64.0000,92.0000
62.0000,86.0000
60.0000,92.0000
58.0000,98.0000
60.0000,94.0000
62.0000,90.0000
64.0000,94.0000
66.0000,90.0000
68.0000,94.0000
70.0000,90.0000
72.0000,94.0000
74.0000,90.0000
76.0000,94.0000
78.0000,98.0000
76.0000,92.0000
74.0000,86.0000
72.0000,80.0000
70.0000,74.0000
68.0000,80.0000
66.0000,86.0000
64.0000,80.0000
62.0000,74.0000
60.0000,80.0000
58.0000,86.0000
60.0000,82.0000
62.0000,78.0000
64.0000,82.0000
66.0000,78.0000
68.0000,82.0000
70.0000,78.0000
72.0000,82.0000
74.0000,78.0000
76.0000,82.0000
78.0000,86.0000
76.0000,80.0000
74.0000,74.0000
