x,y
60.0000,70.0000
60.0000,72.0000
60.0000,74.0000
60.0000,76.0000
60.0000,78.0000
60.0000,80.0000
60.0000,82.0000
60.0000,84.0000
60.0000,86.0000
60.0000,88.0000
60.0000,90.0000
60.0000,92.0000
60.0000,94.0000
60.0000,96.0000
60.0000,98.0000
65.0000,70.0000
65.0000,72.0000
65.0000,74.0000
65.0000,76.0000
65.0000,78.0000
65.0000,80.0000
65.0000,82.0000
65.0000,84.0000
65.0000,86.0000
65.0000,88.0000
65.0000,90.0000
65.0000,92.0000
65.0000,94.0000
65.0000,96.0000
65.0000,98.0000
70.0000,70.0000
70.0000,72.0000
70.0000,74.0000
70.0000,76.0000
70.0000,78.0000
70.0000,80.0000
70.0000,82.0000
70.0000,84.0000
70.0000,86.0000
70.0000,88.0000
70.0000,90.0000
70.0000,92.0000
70.0000,94.0000
70.0000,96.0000
70.0000,98.0000
75.0000,70.0000
75.0000,72.0000
75.0000,74.0000
75.0000,76.0000
75.0000,78.0000
75.0000,80.0000
75.0000,82.0000
75.0000,84.0000
75.0000,86.0000
75.0000,88.0000
75.0000,90.0000
75.0000,92.0000
75.0000,94.0000
75.0000,96.0000
75.0000,98.0000
